Time,TotalPrivateBytes,TimeWorkingSet
15:23:28,1767895040,3670032384
15:23:33,1768484864,3670245376
15:23:38,1768587264,3670175744
15:23:43,1768484864,3672760320
15:23:48,1768427520,3669118976
15:23:53,1767235584,3668283392
15:23:58,1767968768,3669102592
15:24:03,1768038400,3665334272
15:24:08,1767960576,3665313792
15:24:13,1766395904,3664191488
15:24:18,1767292928,3665207296
15:24:23,1766060032,3645882368
15:24:28,1779609600,3686096896
15:24:33,1794039808,3728777216
15:24:38,1790799872,3715366912
15:24:43,1792909312,3716636672
15:24:48,1797967872,3734437888
15:24:53,1793306624,3718234112
15:24:58,1792524288,3717443584
15:25:03,1789181952,3702345728
15:25:08,1789304832,3699265536
15:25:13,1789284352,3699351552
15:25:18,1788366848,3595620352
15:25:23,1785352192,3624685568
15:25:28,1782964224,3640201216
15:25:33,1778823168,3638521856
15:25:38,1777340416,3637911552
15:25:43,1778487296,3638808576
15:25:48,1778630656,3635929088
15:25:53,1778237440,3635806208
15:25:58,1777889280,3635695616
15:26:03,1777315840,3632390144
15:26:08,1778311168,3633065984
15:26:13,1778249728,3633532928
15:26:18,1777709056,3633467392
15:26:23,1777328128,3630505984
15:26:28,1779318784,3660673024
15:26:33,1861521408,3806408704
15:28:16,1978834944,4089430016
15:28:18,1954897920,4109455360
15:28:23,1913671680,3948367872
15:28:28,1902530560,3929890816
15:28:33,1901424640,3933257728
15:28:38,1901187072,3929477120
15:28:43,1900109824,3927691264
15:28:48,1897840640,3926773760
15:28:53,1898307584,3923599360
15:28:58,1907093504,3950579712
15:29:03,1906196480,3950202880
15:29:08,1905725440,3950227456
15:29:13,1905487872,3949993984
15:29:18,1889685504,3906928640
15:29:23,1889546240,3899645952
15:29:28,1885982720,3899809792
15:29:33,1884278784,3898568704
15:29:38,1884516352,3895230464
15:29:43,1884364800,3895529472
15:29:48,1868107776,3859124224
15:29:53,1867350016,3855937536
15:29:58,1858211840,3828862976
15:30:03,1858486272,3826036736
15:30:08,1854443520,3813376000
15:30:13,1853440000,3812593664
15:30:18,1852518400,3804659712
15:30:23,1852702720,3801145344
15:30:28,1852477440,3798781952
15:30:33,1845686272,3796152320
15:30:38,1845170176,3796029440
15:30:43,1843343360,3791581184
15:30:48,1843990528,3792179200
15:30:53,1844617216,3787714560
15:30:58,1843896320,3787505664
15:31:03,1844215808,3784884224
15:31:08,1841582080,3774205952
15:31:13,1840091136,3765866496
15:31:18,1840517120,3766292480
15:31:23,1840590848,3765354496
15:31:28,1838325760,3763539968
15:31:33,1838247936,3760877568
15:31:38,1837142016,3760590848
15:31:43,1836888064,3757854720
15:31:48,1836441600,3757522944
15:31:53,1836666880,3757371392
15:31:58,1835417600,3753730048
15:32:03,1836503040,3754463232
15:32:08,1836449792,3754360832
15:32:13,1836445696,3751055360
15:32:18,1836666880,3751227392
15:32:23,1836216320,3744268288
15:32:28,1842270208,3764846592
15:32:33,1839263744,3752583168
15:32:38,1839366144,3752816640
15:32:43,1837879296,3749064704
15:32:48,1837174784,3749855232
15:32:53,1837248512,3749056512
15:32:58,1836539904,3748626432
15:33:03,1835769856,3747930112
15:33:08,1837359104,3748024320
15:33:13,1838125056,3748270080
15:33:18,1834897408,3739242496
15:33:23,1835515904,3739840512
15:33:28,1828073472,3720470528
15:33:33,1829163008,3720192000
15:33:38,1829138432,3719958528
15:33:43,1828536320,3719192576
15:33:48,1828691968,3718320128
15:33:53,1827241984,3717517312
15:33:58,1824223232,3707883520
15:34:03,1824526336,3708084224
15:34:08,1824493568,3706798080
15:34:13,1823309824,3706007552
15:34:18,1822920704,3705315328
15:34:23,1824882688,3701927936
15:34:28,1824985088,3703345152
15:34:33,1824649216,3704557568
15:34:38,1823440896,3703562240
15:34:43,1824333824,3703300096
15:34:48,1830371328,3720929280
15:34:53,1826172928,3703816192
15:34:58,1821696000,3693715456
15:35:03,1821556736,3694149632
15:35:08,1820962816,3692769280
15:35:13,1820348416,3692355584
15:35:18,1817804800,3681939456
15:35:23,1816670208,3683758080
15:35:28,1817411584,3683643392
15:35:33,1816838144,3683127296
15:35:38,1816743936,3683454976
15:35:43,1822527488,3706351616
15:35:48,1822969856,3706572800
15:35:53,1823211520,3706851328
15:35:58,1861951488,3799818240
15:36:03,1866055680,3803205632
15:36:08,1919094784,3968524288
15:36:13,1919885312,3959611392
15:36:18,1920610304,3960061952
15:36:23,1920319488,3956350976
15:36:28,1920475136,3955003392
15:36:33,1920499712,3955019776
15:36:38,1919021056,3953983488
15:36:43,1918881792,3953025024
15:36:48,1918451712,3952889856
15:36:53,1916219392,3951591424
15:36:58,1917988864,3950858240
15:37:03,1901936640,3907694592
15:37:08,1884545024,3849883648
15:37:13,1882800128,3847561216
15:37:18,1882181632,3847491584
15:37:23,1881174016,3849449472
15:37:28,1881202688,3847974912
15:37:33,1868554240,3808411648
15:37:38,1864052736,3791388672
15:37:43,1865285632,3792121856
15:37:48,1864183808,3787591680
15:37:53,1863806976,3787608064
15:37:58,1862295552,3786649600
15:38:03,1862483968,3783503872
15:38:08,1862668288,3783417856
15:38:13,1862057984,3783962624
15:38:18,1850728448,3759669248
15:38:23,1849647104,3756400640
15:38:28,1883521024,3815903232
15:38:33,1882849280,3815505920
15:38:38,1885196288,3825606656
15:38:43,1876885504,3796729856
15:38:48,1874489344,3795296256
15:38:53,1876475904,3796115456
15:38:58,1874870272,3795529728
15:39:03,1874173952,3795214336
15:39:08,1874497536,3795324928
15:39:13,1875537920,3801665536
15:39:18,1875316736,3801559040
15:39:23,1875488768,3798720512
15:39:28,1873846272,3797987328
15:39:33,1872965632,3797762048
15:39:38,1872777216,3797716992
15:39:43,1872719872,3795030016
15:39:48,1871552512,3794190336
15:39:53,1872580608,3794948096
15:39:58,1872658432,3795161088
15:40:03,1872252928,3792416768
15:40:08,1900871680,3861229568
15:40:13,2070663168,4191031296
15:40:18,2420473856,4700086272
15:40:23,2388750336,4661026816
15:40:28,2398654464,4650876928
15:40:33,2382299136,4643000320
15:40:38,2369122304,4612337664
15:40:43,2414886912,4751056896
15:40:48,2625650688,5162651648
15:40:53,2694709248,5272932352
15:40:58,2717261824,5295919104
15:41:03,2702069760,5287260160
15:41:08,2718629888,5275418624
15:41:13,2696773632,5238050816
15:41:18,2643755008,5257859072
15:41:23,2597212160,5158055936
15:41:28,2665562112,5240680448
15:41:33,2657411072,5229772800
15:41:38,2663219200,5230313472
15:41:43,2721533952,5294518272
15:41:48,2779463680,5362311168
15:41:53,2880733184,5497659392
15:41:58,2997956608,5571543040
15:42:03,3039985664,5622353920
15:42:08,2999484416,5580656640
15:42:13,3024748544,5636141056
15:42:18,2885431296,5424816128
15:42:23,2856681472,5385682944
15:42:28,2921857024,5449867264
15:42:33,2130485248,4216459264
15:42:38,2093793280,4180746240
15:42:43,2097504256,4176928768
15:42:48,2085142528,4144594944
15:42:53,2077212672,4119265280
15:42:58,2535452672,4878405632
15:43:03,2634326016,5042462720
15:43:08,3009765376,5517107200
15:43:13,2985037824,5466447872
15:43:18,2940194816,5396652032
15:43:23,2972450816,5422616576
15:43:28,2907074560,5356380160
15:43:33,2884259840,5334999040
15:43:38,2860523520,5304033280
15:43:43,2848223232,5304164352
15:43:48,2852098048,5296214016
15:43:53,2837385216,5280239616
15:43:58,2843492352,5292138496
15:44:03,2836332544,5284888576
15:44:08,2843217920,5292498944
15:44:13,2854342656,5306363904
15:44:18,2863521792,5301317632
15:44:23,2907127808,5384744960
15:44:28,2904559616,5375045632
15:44:33,2930393088,5416943616
15:44:38,2910023680,5395324928
15:44:43,2923020288,5408292864
15:44:48,2938093568,5437956096
15:44:53,2927792128,5414084608
15:44:58,2916511744,5402263552
15:45:03,2937344000,5445529600
15:45:08,2933420032,5442523136
15:45:13,2953265152,5463953408
15:45:18,2918264832,5295169536
15:45:23,2915332096,5298876416
